"text","label"
"behosh ho gya pulse hgh",2
"dizziness feel ho  raha hai",1
"slightfa tigue",0
"patient collapse ho gayya 8",2
"chest pin brething problem",2
"high tmeperature body pain",1
"moderatec hest pain",1
"ept mein thoda dard",0
"oxygn level cirtcl",2
"chhati mein crushing dardd",2
"fever au rbody mein dard",1
"severe chest tightness cannot breathe emergency 147 125",2
"chest crsuhing pain ho rahi hai 82",2
"small minor",0
"spo2 90 emergency",2
"tez bukhaar hai cold nahi hai",1
"general weakness feel ho rahii",0
"thoodi khansi hai",0
"ffever stable",0
"seevr chst tgihtness",2
"thoda sar dard h",0
"drpping emergeny",2
"chest crushing pain radiating arm 4",2
"genrl wekness 30",0
"minor obdy ache",0
"mild hedaache",0
"chest ho rahha hai",1
"tez bukhaar sardi nahi 36",1
"behosh pade hain saans muskkhil se aa rahi",2
"respiratory distress severe",2
"heart attack symptoms severe chest pain",2
"tez bukhaar hai zukam nahi",1
"breathing thodi difficult ho rrahi hai",1
"minor allergy",0
"slight runny noes 109",0
"oxygen dropping rapidly",2
"high fever witth ache",1
"normall coldd",0
"slight fevr stable",0
"chhati mein crushing dard",2
"ccritical condition hai oxygen low",2
"dizziness and weaknses ho rahi",1
"oxygen low patient unconscious",2
"chhati mein halka dard",1
"no major problem hai",0
"bukhaar k esaath ulti",1
"patient collapsed pulse",2
"norml cold cough",0
"mild shortnnes of breath",1
"oxgyn critcal",2
"chhati dab rahi hai saans nahi",2
"fvr high no cld 6",1
"bohot tez dard saaans ruktee ja rahi 59",2
"fever 101 no runny nose 111 11",1
"general weakness",0
"severe chest tightness cannot breathe emergency",2
"saans nahi le pa rahe hain",2
"chhati mein halka dard",1
"chest discomfort ho raha hai",1
"mild sa headache ho raha hai 58",0
"runyn nose",0
"feevr 101",1
"thodi kamzori",0
"thodi kamzori",0
"mild chest pain",1
"sevr berathlesness",2
"sligt fever",0
"sevr breathlesness",2
"thoda fever hai staable hai",0
"saans nahhi aa rahi emergency hai",2
"high fvr bina khansi ke",1
"generalw eakkness feel ho rahi hai",0
"mild sa headache ho  raha hai",0
"minor body ache",0
"low fever no cough no cold",0
"continuuous fever since 2 days",1
"dizzinesss and weakness",1
"critical condition hai oxyegn low 11",2
"tiightness mild",1
"modrte chest pain",1
"slligt fever 134",0
"minor issue hai koi badi baat nahi",0
"fever without cold 2 din se 108",1
"severe chest tightness cannot breathe emergency",2
"oxgyn critcal",2
"pulse bahut fast hai behosh  hain 65",2
"genrlw ekness 103",0
"spo2  low brething issue",2
"zukam",0
"oxgyn critcal",2
"sans thodi mushkil hai",1
"dizziness while standing",1
"light cold",0
"mild shortness of breath 40",1
"patient ho gaya 24",2
"pet thoda kharab hai",0
"bukhr high fever",1
"hhig hfever no cough",1
"fvr 101 ehadach",1
"routine problem hai 12",0
"oxygeen level critical",2
"badaan garm hai khansi nahi",1
"bahut zyada bukhaar hai",1
"fever 102 pain",1
"spo2 drop ho hai breathing issue",2
"thoodi kamzroi",0
"spo2 low breathing iissue",2
"chest pain breathing problem",2
"halka bukhaar hai 97",0
"sans lene thodi problem 134",1
"102 fever no cold",1
"slight fatigue",0
"slight cold hai",0
"fever hai but cold nnahi 3 days se",1
"bukhaarb ody pain no cough no cold",1
"minor allergy",0
"chhati mein  bahut tez dard saans nahi",2
"fever 102 body pain",1
"persistent headache with fever",1
"fever 102 aurr body mein dard",1
"sirf zukam hai bukhaar nahi",0
"pet mein thoda dard",0
"tohdi khansi hai",0
"general weakness",0
"oxygen low unconscious 64",2
"cannot breathe at all 109 41",2
"mild chst pain 88",1
"bukhar tez h ssardi nhi",1
"crushing pain ho rahi",2
"no mjor issu e13",0
"behosh pade hain saans mushkil se aaa rahi",2
"halkik hasi  hai",0
"chest discomfort mmild",1
"norml ocugh",0
"oxygenn mask jaldi",2
"bukhaar hai pr khansi nahi",1
"bukhaar hai khansi nahi",1
"101 headach",1
"sirf zukam hai bukhaar nahi",0
"ho raha hai",1
"sspo2 low bretihng issue",2
"chhati mein bahut tez dard saans nahi",2
"high temperature bdoy pain",1
"cehst crushing pain radiating arm 114",2
"patient unconscious not rseponding 28",2
"respratry sevr",2
"miled headache",0
"fever high hai body pain bhi",1
"brething problem",1
"routine problem hai",0
"norml codl cough",0
"sliggt fever",0
"mild headche",0
"thoodi  kamzori",0
"fvr headach 14",1
"oxygen dropping rapidly",2
"normal cold cough",0
"nahi bas kamzorri",0
"emergency unconscious patient",2
"palpattons",1
"modrte ppain",1
"thodi kamzorri",0
"saans lena impossible ho raha hai 48",2
"spo2 below 90 emergency",2
"slight fvr",0
"spo2 low brethhing isue",2
"halkab ukhar h",0
"aur kamzori",1
"high fvr bina khansi ke",1
"patient mein nahi hai",2
"high fever without cold symptoms",1
"badan garm hai khansi nahi",1
"mild headche",0
"tez bukhaar sardi nahi",1
"halka bukhaar",0
"seene mein itna dard ki hilna mushkil 118",2
"spo2 below 90 emergency 50",2
"oxygen mask chahiye patient unconscious 79",2
"minor issue hai koi badi baat nahi",0
"rotuine problem hai",0
"oxygen low ptient unconssciuos",2
"saans nahi le ppa rahe hainn",2
"heart attack symptoms severre cehst pain",2
"chest pain breathing prooblem",2
"slght fever stable",0
"behosh ho gy pulse high",2
"mild chest pain",1
"spo2 low issue",2
"halki fever hai sardi nahi",0
"halkaa bukhaar hai 51",0
"patient baat nahi kar pa raha oxygen low",2
"halka sa body achee",0
"sevr chst tghtnes cant breathe 71",2
"thodii kamzori",0
"fever cold 3",1
"behosh pade hain saans mushkil se aa rahi",2
"bukhaar body pain no cough no cold",1
"chhati emin halka dard 52",1
"spo2 low brething issue",2
"patient baat nahi kar pa raha oxygen low",2
"chhati mein crushing dard",2
"hos hnahi aa raha pulse zydaa",2
"chets crushing pain h orahi hai",2
"fever with body pain no cold 115",1
"oxygen low ptient unconscious",2
"generall weakness 109",0
"breathing problm mild 31 56",1
"light brething problem",1
"cotninuos fever",1
"chest discomfrot",1
"bukhaar hai khansi nahi 23",1
"mild shortness of breath",1
"patient collapsed pulse weak 139",2
"no amjr",0
"persistent fever 3 days",1
"minor alllegry",0
"mild chest tightness feel ho rahi hai",1
"sir mein halka dard",0
"seene mein idscomfort 133",1
"low fever stable",0
"fever without cold 3 days",1
"oxygen level gir raha hai",2
"thoda hai stable hai",0
"thoda fever hai stable 128",0
"thodda sa sir dard 36",0
"thoda sa sri dard",0
"oxygn critlc",2
"severe breathlessness patient baat nahi kar pa raha",2
"dizziness and weakness",1
"thhodi si",0
"cold cough",0
"mild shortness breath",1
"chhati dab rahi hai saans nahi 53",2
"n omajor issue",0
"oxygen gir rah ahai patient unconscious hai 137",2
"chest discomfort mild",1
"severe chest tightness cannot breathe emergency 27 57",2
"sirf zukam hai bukhaar nahi",0
"chhoti si chot laig 144",0
"saans bilkul nahi aa rahi meergeency hai",2
"not breathing propperly",2
"no mjor issue",0
"nd",1
"puls rvy hgh unconsious",2
"routine problemh ai 79",0
"routine checkup",0
"saans ki nali band ho rahi hai 147",2
"halki ai",0
"ppatient collapsee ho gaya",2
"spo2 low brething isue",2
"normal cold cough 139",0
"chest mein mild pain hai",1
"chest discomfortm ild",1
"bukhaar 1011 sir dard",1
"thoda sar dard h",0
"thodik hansi hai",0
"chhoti si chot lagi 48",0
"bukhar etz h sardi nhi 116",1
"severe chest pain hai saans nahi aa rahi",2
"patient unconscious not responding 84",2
"oxygen low hai patient unconscious 0 147",2
"no mjor 25",0
"seene mein hlaka dard",1
"mild shortness of breath",1
"chhakkar aur",1
"severe chest tightness cannot breathe emergency 29",2
"saans ki nali band ho rahi hai",2
"thodi difficult ho rahi",1
"minnor issue hai koi badi baat nahi",0
"mild sa ho raha hai",0
"thakaan ho rahi hai",0
"shorttness of breath",1
"breathing problm",1
"breathing problm mild",1
"chhait dab rrahi hai saans nahi",2
"ffever with",1
"severe chest tightness cannot breathe emergency 93",2
"slight ffvr",0
"light breathing 41",1
"normmal cold cough 9",0
"seene itna dard ki hilna mushkil",2
"chhati mein bahut tez dard saans nahi",2
"sans lene mein thodi problem",1
"mild sa heaadceh ho raha hai",0
"high feveern o cough",1
"tez bukhaar hai",1
"genra lweankess",0
"uthh nahii raha oxygen gira hua hai",2
"pateint unconscious oxgyn low",2
"severe chest tightness cannot breathe emergency",2
"chti me drd sns nhi rhi",2
"heart  attack symptoms severe chest pain 106",2
"bukhaar 3 din se",1
"generel weakness 61",0
"patient collapsed pulse 76",2
"mild headcahe",0
"chst crushng pain",2
"light bbrething problem",1
"dizziness feel ho raha hai 93",1
"mild hedaache",0
"behosh ho gy pulse high",2
"spo2 drop ho raha haii issue",2
"mild fever without cold",0
"bukhaar hai pr  khannsi nahi",1
"low fever stable 10",0
"oxygne level gir raha hai 42",2
"ebhoosh ho gaya pulse high",2
"bukhaar hiigh fever",1
"patient unconscious not responding",2
"severe chest tightness breathe",2
"oxygen mask chahiye patient unconscious",2
"slight stable",0
"routine checkup",0
"fever without cold 2 din se",1
"h",0
"slight fever stable",0
"slight fever stable",0
"low fever  no cough no cold",0
"htakaan ho hai",0
"thodi si fatigue",0
"dizziness feel ho rraha hai 145",1
"high fever with body ache",1
"fever without cold 2 din se",1
"mil dcchest tightness feel ho rahi hai",1
"normall cold cough",0
"light brething proobleem",1
"can tbreth at all",2
"not breathing properly",2
"oxygn low patint unconscous 1100",2
"bukhaar high fever",1
"palpitatiions mild",1
"cchest discomfrt",1
"saans lena imposssible ho raha hai",2
"normol cold cough",0
"mild sa headache hoo raha hai 136",0
"htodi si fatigue",0
"fever 1011",1
"behosh ho gaye hain",2
"bukhaar hai khansi nahi",1
"emergnecy unconscious aptient",2
"bukhar tez h nhi",1
"slight cold hai 3",0
"dizzyness weakness",1
"chhati dab rahi hai saans nahi",2
"puls vry hhg unconsious 113",2
"chst pin brething problm",2
"patient collapsed pulse weak",2
"patientt collapsed 106",2
"normall cold cough",0
"mild nausea",0
"mild shortness of breath",1
"mild fever no cold",0
"chest pin brethingp roblem 24",2
"neend nahi aa rahi",0
"oxygen level criitical",2
"pso2 low brething issue",2
"nd wwekness",1
"chst crushng pain 105",2
"bhoohk kam lag hai",0
"mild sa bukhar h stable h 138",0
"cehst tighttness mild",1
"halka bbukha rh",0
"kamzori lag rahi ahi",0
"normol cold cough",0
"critcall",2
"discomfort mild",1
"3din se bukhaar nahi ja raha",1
"hosh nahi aa rhaa pulse zyyada",2
"mminor body ache 81",0
"sirf halka bukhaar hai cold nahi",0
"uplse very high aur behosh hain",2
"chtti me drd sns nhi rhi",2
"fvr 102 body pin 91",1
"modrte chest ppain",1
"mmild sa headache ho raha hai 34",0
"pulse bahut fast behosh hain",2
"thoda sar dard h",0
"seene mein thoodi jalan",1
"bhookh kam lag rahi hai",0
"no complaints",0
"thoda fever hai stable hai",0
"no major problem hai",0
"severe chest tightness cannot breathe",2
"persistnt headache fever 15 45",1
"oyxgn low patint unconscous 23",2
"saans lene meint hodi taklif 102",1
"bukhaar hai khansi nahi",1
"no complaints",0
"chest pain itna severe hai emerrgency call karo",2
"chest pin brething problem 143",2
"bukhaar 101 dard",1
"hsoh nahi aa raha pulse zyada",2
"bukhaar bahut hai 72",1
"gneeral",0
"halki zukam hai 145",0
"mujhe bukhaar h khansi nhi h",1
"behosh pade hain pulse nahi aa raha",2
"bukhhaar hai pr khansi nahi",1
"bukhaar 102 nahi",1
"emergency hai patient ho gaya 52",2
"bukhr hgh 104",1
"spo2  below 90 emergency 139",2
"palpitations mild",1
"brething problem",2
"generl wekness",0
"chest discomfort ho raha hai 53",1
"low fever no cough no cold",0
"fevr 103 body ach 1115",1
"oxygen bhaut kam hai 19",2
"oxygen low ptient uncosncioous",2
"chest mein mild pain hai",1
"minor upset",0
"fver without cold",1
"slight no fever",0
"fever 103 no other symptoms 80",1
"chest ppain breathing",2
"sir mein halka dard",0
"behosh ho gaya pulse bahut high",2
"fever hai but cold nahi 3 days se",1
"oxygen level pe hai 78",2
"mield headache",0
"genrl wekness 91",0
"palptatons mildd",1
"breathing thodi diifficult ho rahi hai",1
"chest pin problem 59",2
"feverh igh hai body pain bhi 77",1
"fever hai stable",0
"heart attack symptoms severe chest pain",2
"sligt feevr",0
"bukhaar hai khansi nahi",1
"fvr high noc ld",1
"thodi khansi hia 38",0
"slight cold hai",0
"mild hedche",0
"halka bukhaar hai",0
"low grade fveer",0
"pulse very high unconscious",2
"baat nahi kar pa raha oxygen low 9",2
"idstrss sevr",2
"hgh fever n ocld 46",1
"sspo2 drpping emergeny",2
"dizziness and weaknesss 38",1
"sans thodi mushkil hai",1
"halka bbukhaar hai",0
"feverr",1
"bukhaar din se hai 88",1
"mild shoortnes of breath",1
"generl wekness",0
"bukkhr hggh fever",1
"moderate fever  with chills",1
"high with body ache 65",1
"no  mjor isseu",0
"oxygen mask chahiye patient unconscious 58",2
"halka bukhaar hai",0
"oxygen chahiye jaldi",2
"sligt fever",0
"saans nahi aa rahi hai",2
"geenral weakness",0
"high efver no couggh",1
"no commplaitns",0
"uthh nahi pa raha oxygen gira hua hai 31",2
"no majro problem hai",0
"neeend nahi  aa rahi",0
"bukhaar 103 koi aur nahi",1
"thoodi kamzoir",0
"mild chst pani",1
"lowf ever stable",0
"sevrc hst tghtnes cant breathe 128",2
"general weakness feel ho rahii hai",0
"chest tightness cannot emergency",2
"dizzienss feel ho raha hai",1
"saans rukne hai",2
"chest pain breathing probleem 69",2
"oxygen bahut kam hai",2
"sans thodi mushkil hai",1
"respiratory distress severe",2
"mild chst pain",1
"general weakness",0
"severe breathlessness cannot speak",2
"bukhaar body pain no cough noc old",1
"persistent fever 3 ddays",1
"respiratory distress severe 77",2
"fvr1 02 body pin",1
"slight fatigue",0
"normall cold",0
"badan bahut dardh ai bukhaar ke saath",1
"thodi si fatigue",0
"small cut minor injury",0
"oxygen bahut kam",2
"oxygen mask chahiye patient unconscious",2
"pet thoda dard 109",0
"halki fever haai sard inahi",0
"sanns thodii mushkil hai",1
"behosh ho gaya pulse high",2
"mild fever no cold",0
"chest pai nradiating arm",2
"patientu nconscious not  responding",2
"patient hosh mein nahi hai 132",2
"miild nausea 96",0
"minors tomach upset",0
"fever 102 no cold just waekness 63",1
"chhoti si chot lagi 107",0
"mild sa buukhar h stable h",0
"unresponsive low",2
"aur kamzori",1
"chst tightnss mild",1
"saans bilkul aa rahi emergency hai",2
"fvre without cold",1
"thodi khansi hai",0
"pet thoda kharab hai",0
"tez bukhaar aur badan dard",1
"fever without cold 3 days",1
"fever  101 headache",1
"badan mein bahut dard hai bukhaar ke saath",1
"ahlka sa body achhe",0
"mild shortnes off breath",1
"mildc hst pain",1
"routine checkup",0
"thodi si fatigue",0
"xoygen level gir rah ahai",2
"cold cough",0
"ssaans bilkul nahi aa rahi emerggency hai",2
"hedche",0
"hg hfever no cld",1
"mild fever no",0
"sirf halka bukhaar hai cold nahi 68",0
"severe breathlessness patient baat nahi kar pa raha",2
"seene meind iscomfort",1
"sevr chst tghtnes cant breathe",2
"general weakness feel ho rahi hai",0
"oxygen mask chahiey patient unconscious 78",2
"oxgyn critcal",2
"isrf halka bukhaar hai cold nahi 143",0
"chest pain",1
"mild heeadche 23",0
"halki khasi hai",0
"slight fevr stable 125",0
"chaati me dard saans nahi aa rahi 75",2
"mein bahut tez dard saans nahi",2
"oxygen level gir hai",2
"persistnt headache fever",1
"zyada hai",1
"mild fever no 118",0
"codl cough",0
"pullse bahut fast hai  behosh hain",2
"chti me drd sns nhi rhi 33",2
"bukhaar nahi bas kmazori",0
"tighntess mild",1
"pin brething problm",2
"fvr 101 headach 133",1
"chest mein midl pain hai",1
"patient not breathing properly",2
"fever with",1
"fever 102 no cough just body pain",1
"tez bukhaar bina ssardi ke 66",1
"mild sore throat",0
"bukhr high fever",1
"halki fever haai sardi nahi",0
"mlid sore throat 123",0
"sevvr chest pain cant mov",2
"cehst paini tna severe hai emergency call karo",2
"patient baat nahi kar pa raha oxygen low",2
"saans len aimpossible ho raha hai 84",2
"pulseb ahut fast hai behosh hain",2
"no complaints",0
"mild nausea",0
"chhatim ein dard",1
"sirf halka bukhaar cold nahi",0
"emergency uncosncious patient",2
"seene mein halka dard 92 19",1
"high fever without cold symptoms 98",1
"bukhara hai  pr khansi nahi",1
"chst crushng pain",2
"lowf no cough no cold",0
"mild breathlessness on exertion",1
"fever with body pain no cold",1
"halka bukhaarh ai",0
"oxygen dropping raapidly",2
"bukhaar ke saath ulti",1
"spo2 breathing issue 41",2
"thodda sar dard h",0
"halka bukhar h",0
"minor 141",0
"seveer chest pain hai saans nahi aa rahi",2
"bukhaar high fever",1
"high fever body ache",1
"bukhaar body pain no cough no cold 129",1
"light brething",1
"bohot tez dard saans ruktee ja rahi 98",2
"pulse bahut fast hai behosh hhain",2
"severe chest tightness cannot breathe",2
"oxygen level gir raha hai",2
"severe chest tightness cannot braethe",2
"halka bukhaar hai 47",0
"mild breathlesness",1
"sar dadr h",0
"saans nahi aa haii",2
"thoda fever ha istaable hai",0
"tez bukhaar hai zukam nahi",1
"severe breathlessness patient baat nahhi kar raha",2
"mild hddeche",0
"no complaints",0
"saans lena impossible ho raha hai 82",2
"low graed fever 1",0
"routine haii",0
"miled headache",0
"chest pain cannot move",2
"oxygen maskc hahiye jalldi",2
"mujhe bukhaar h khansi nnhi h 67",1
"chest pain itna severe hai emergency call karo 83",2
"severe chest pain cannot move 60",2
"sirff zukam hai bukhaar nahi 19",0
"no major problem hai",0
"oxygen mask chahiye jaldi",2
"bukhaarh hai pr khansi nahi",1
"spo2 drpping emergeny 64",2
"onrmol cold cough",0
"chhati mein crushing dard",2
"thodi khansi hai",0
"thoda bukhaar hai nahi",0
"dizziness nd wekness 33",1
"bbehosh gaya pulse high",2
"respiratory distress severe",2
"fever 102 aur body meni dard",1
"slight fever",0
"nom ajor problem hai 104",0
"patient not breathing properly",2
"seene mein discomfort",1
"normol coldc ough 62",0
"routiiine problem hai",0
"mujhe bukhaar h khansi nhi h 7 68",1
"spo2 80 se neeche gaya emergency",2
"persistent fever 3 days",1
"sirf halka bukhaar hai cold nahi",0
"behosh ho gaye hain",2
"thdoa fever stable hai",0
"body pain no cough cold",1
"tez bukhaar  aur badan dard",1
"seene mein discomfort",1
"chhati mein crushing dard",2
"critical condition hai low",2
"light breathing problem",1
"no mjor issue",0
"fevr 103  body ach",1
"chst pin brething problm",2
"pulse very high unconsciious 134",2
"spo2 low breething issue 65",2
"slight runnyn",0
"oxgyn patint unconscous",2
"saans wali hai",2
"light problem 0",1
"slight cough no fever",0
"bukhaar fever",1
"pulse bahut fast hai behossh hain",2
"sligth fevr stable",0
"cannot breathe at all",2
"severe chest pain cannot move",2
"high fvr bina khansi ke",1
"behosh ho gya pulse  hgh",2
"thodi kamzori 15",0
"nom ajor issue",0
"normall cuogh",0
"chst pin brething prbolm",2
"minor body",0
"higgh fever no cold",1
"severe chest pian cannot move",2
"slight cold hai 60",0
"neend nahi aa rahhi",0
"cold hai 69",0
"spo2 low breathing",2
"no complaints",0
"bukhaar hai pr khansi nahi",1
"mild fever without cold",0
"sslight runny nose",0
"no maj rissue 142",0
"bukhaar ke saath ulti 9",1
"unresponsive loww",2
"slight ocld hai",0
"saans lena impossible ho raha hai",2
"slight fvr 15",0
"small cut minor injjury",0
"chhoti si chotl agi",0
"saans rukne wali hai 34",2
"pin brethinng problem",2
"lighth cold",0
"chest mein mild pain hai",1
"persistent 3 days 27",1
"patient responnd nahi kar raha oxygen low 11",2
"normol cold coough 92",0
"breathing thodi dddifficult ho rahi hai",1
"hosh nahi aa raha pulse zyada 146",2
"sirf zukam hai bukhaar nahi",0
"persistent headache with fever",1
"respiratory severe 3",2
"saans nahi le pa rahe hain",2
"crushing pain ho rahi hai 69",2
"dizzyness weeakness 133",1
"general weakness feel hho rahi hai 140",0
"halka bukhaaar haii",0
"lene mein thodi",1
"high fever no cough",1
"normal cold cough 99",0
"no majr issue 127",0
"mild chst pain",1
"oxygen dropping rapidly",2
"slight fvr 82",0
"oxgyn critcal 147",2
"high fever no cold 126",1
"critical condition hai oxygen llow",2
"midl headache 19",0
"cold cough",0
"bukhaar bahut zyada hai",1
"oxygen gir raha hai patient unnconscious hai",2
"mild haedcahe",0
"dizziness nd",1
"sans lene mein thodi problem",1
"emergency hai patient collapse gaya 22",2
"miled headache",0
"oxygen low hai patient unconscious",2
"allegry",0
"mujhe khansi nhi h",1
"milld hedceh",0
"fever high hai body pain bhi",1
"cold cough",0
"chest mein bahut tez dard saans ruk rahi",2
"sir meiin halka dard",0
"dizziness feel ho raha hai",1
"moderate fever with chills",1
"moderate chest pain 56",1
"severe breathlessness patient baat nahi kar pa raha",2
"generrel weakness 45",0
"patient collapse ho gaya 142 78",2
"ho gy pulse highh",2
"fever 102 aur body mein dard",1
"slight no fever",0
"patient collapse hoo gaya 105",2
"emergeency hai patient collapse ho gaya",2
"tez bukhaar aur baadan dard 3",1
"bahut fast hai behosh hain",2
"oxygn low patint unconscous 34 108",2
"dizziness  feel oh raha hai",1
"halka sa body",0
"continuos fever",1
"thoda sa sir dard",0
"patient collapsed pulse weak 109",2
"chestt pin brething problem 24",2
"fever  101 headache",1
"sevr chst tightness",2
"bukhaar 3 din se hai",1
"general feel ho rahi hai",0
"norml col dcouhg",0
"minor allergy",0
"minor stomcah upset",0
"chhati mein crsuhing dard 113",2
"pni brething problem",2
"thoda sar dard h",0
"kkamzori lag rahi hai",0
"mild fever without cold",0
"bohot tez dard saans ruktee ja rahi",2
"chti m edrd sns nhi rhi 19",2
"uthh nahi pa raha oxygen hua hai",2
"chakkar aa rahe hain  66",1
"general weakness",0
"high temperature bodyp ain",1
"behosh pade hain pulse nahi aa raha 79",2
"halki khasi hai",0
"severe breathlessness patient baat nahi kar pa raha",2
"mein haalka dard",0
"bahut zyaada bukhaar hai",1
"slightlyy difficult",1
"chhati mei nhalka dard",1
"bukhaar body pain no cough no cold",1
"mildh edche",0
"sliight fvr",0
"fevr 103 body ach",1
"mild sa bukhhar h stable h 72",0
"generl wekness",0
"cannot breathe at all 109",2
"oxygen mask chahiye patient unconscious",2
"mild chst pain",1
"attcak symptoms severe chest pain",2
"chati mein dard sans anhi rahi",2
"chhoti si laagi",0
"badan garm hai khansi nahi",1
"bukhaar bahut zyada hai",1
"thodi si fatigue",0
"slight fevr stable 35",0
"oxyggen low  hai patient unconscious",2
"patient hosh mein nahi hai",2
"halki saans ki taklif",1
"bukhr high fever",1
"bukhaar nahi bas kamzori",0
"mild shortness of breath",1
"puls vry hgh unconsious",2
"halka sa body ache",0
"fvr 102 body pin",1
"modrte chest pain",1
"pulse very high aur behosh hain 21",2
"chhati mein bahut tez dard saans nahi",2
"chst tightnss",1
"bukhaar1 01 sir dard 102",1
"severe chest tightness cannot breathhe emergency",2
"no 139",0
"chest pain breathing problem",2
"severe chest pain cannot move",2
"chest crushing pain ho rahi hai",2
"cannot breathe aat all",2
"behosh ho gaya pulse high",2
"halka bukhar h",0
"halka bukhaar hai",0
"pet mein thoda dard",0
"pateint unconscious oxgyn low",2
"minor stomach upset",0
"mild hedache",0
"behosh ho gaye hain 67",2
"srif halka bukhaar hai cold nahi 10",0
"general weakness feel hai",0
"patien tcolllapsed",2
"breathing mlid",1
"and weankess",1
"svver breathlesness",2
"unresponsive low oxygen",2
"chhoti si chot lagi",0
"slght fever stable",0
"no mjor",0
"feel ho raha haai",1
"no majr issue",0
"behosh ho gy pulse high",2
"patient collapsee ho gaya",2
"discomfort",1
"oxygn low patintu nconscous 75",2
"fever 103 no other symptoms 114",1
"chest mild pain hai 81",1
"severee chest pain cannot move 148",2
"critical condition hai oxygen low",2
"seene mein itna dard ki hilna mushkil",2
"minor body acheee",0
"patient collapse ho gaya 47 74",2
"halki zukam hai",0
"bukhaar bahut zyada hai",1
"seene mein dard ki hilna mushkil",2
"routine problem hai",0
"patient pulse weak 41",2
"fever 101 headache",1
"normol cold cough 100",0
"persistent with fever",1
"bukhaar 101 sir 80",1
"slight cough no  fever",0
"behosh ho gaya pulse high",2
"minor allergy",0
"saanns nahi aa rrahi hai",2
"patient collapsed pulse weak",2
"fvrr 101 headach",1
"behosh ho gaye hain 1133",2
"thoda sa sir dard",0
"puls vry hgh unconsious",2
"chest discomfort mild",1
"ho gaye hain 41",2
"normall cold cough",0
"mild sa bukhar h stable h",0
"neend nahi aa rahi",0
"bukhr high feevver",1
"normall zukam",0
"cold cough",0
"sir mein halka dard",0
"sirf halka ubkhaar hai cold nhai",0
"oxygen critical level pe hai",2
"dizziness nd wekness",1
"thoda sar dard h",0
"hcst tightness",2
"seene mein discomfort",1
"chest mein bahut tez dard saans ruk rahi",2
"critical breathing failure 133",2
"cant breth at all",2
"severe chest cannot move",2
"bukhaar bahut zyada hai",1
"chest tightness mild",1
"thakaan ho rahi hai",0
"normal",0
"breathing thodi difficult ho rahi hai",1
"halki zukam hai",0
"mild chst pain 121",1
"mmild",0
"severe chest pain cannot move",2
"chest mein bahut tez dard saans ruk rahi",2
"patient respond nahi kar rraha oxygen low",2
"emergency hai patient collapseh o gyaa",2
"sevr chst tightness",2
"bahut bukhaar hai",1
"patient unconscious not responding",2
"fever hai but  cold nahi 3 days se",1
"chakkaar aa rrahe hain",1
"patient collapsed 20 140",2
"oxygen droppinng rapidly",2
"chhati mein crushing dard",2
"chaati me dard saans nah iaa rahi 42",2
"fvr  120 body pin",1
"fever 102a ur body mein dard",1
"chhati dab rahi hai saans nahi 87 114",2
"chhati dabb rahi hai saans nahi 109",2
"thodi akmmzori",0
"drpping emergeny",2
"genera lweakness",0
"chst  pin brething problm",2
"normal ccold",0
"ssligt",0
"seene mein itna adrd ki hilna mushkil 133",2
"efver 102 boyd pain",1
"slight runny  nose",0
"sir mein halka  dard",0
"persistnt headache fever",1
"genral weeakness",0
"low fever no cough no cold",0
"fever hai bbu tcold nahi 3 days se",1
"fvr high n ocld",1
"high fever no cough",1
"mild fever without cold",0
"low brething issue",2
"fever without cold 2 din se",1
"bukhr hiigh fever 49",1
"halk ikhasi hai",0
"stomach upset",0
"spo2 low breathing issue",2
"chest pain itna seevre hai emergency call karo",2
"no major problem hia",0
"3 din bukhaar nahi  ja raha",1
"fever 102 body pain",1
"allergy 35",0
"3 dni se bukhaar nahi ja raha 100",1
"emergency hai patient collllapse ho gaya",2
"sans lene mein dikkat ho rahi hai",1
"modrte chest pain",1
"102 body pin 20",1
"spo2 low brething",2
"behosh pade hain pulse nahi aa raha 5",2
"alllergy",0
"fvr 101 headahc 90",1
"mmlid headche",0
"chest crushing pain radiating arm",2
"bukhr hgh feverr",1
"dizziness feel ho raha hai",1
"patient hosh mein nahi",2
"low patient unconscious",2
"respratry distrss sevr",2
"mild heeadche",0
"severe chest tightness cannot breathe emergency",2
"light coold",0
"breathing thodid ifficult ho rahi hai",1
"bukhaar ke saath ulti 13",1
"chati mein dard sans nahi aa rahi",2
"attack symptoms severe chest pain",2
"spo2 80 se neeche gaya emergency 17",2
"bhookh kam lag rahi",0
"small cut minori njury",0
"oxygen critical",2
"cchakkar aa rahee hain",1
"norml cold cough 112",0
"minor stoomach upset",0
"pet thoda dard",0
"fvr hihg no cld",1
"chest crushing pain radiating arm",2
"spo2 below 90 emergency",2
"mild sa headache oh raha hai",0
"emergency hai patient collapse ho gaya",2
"patient unconscious not responding",2
"normall cold cough 14",0
"severe breathlessness patient baat nahi kar pa raha",2
"3 din se bukhaar nahi ja raha",1
"critical level pe hai",2
"no mjor issue",0
"fvr 102 body pin",1
"oxygn loow patint unconscous",2
"bukhr high fever",1
"slight fatigue",0
"101 headache 100",1
"weakness",1
"bukhaar 102 khannsi nahi",1
"seene mein itna dard ki hillna mushkil",2
"low fever no cough no cold",0
"low grade fever  32",0
"bukhaar ke saath ulti",1
"patient not breathing properly",2
"slight runny nose",0
"aa raheh ain",1
"chest mild",1
