text,label
"mild chest pain",1
"fever 102 body pin",1
"mild headache 128",0
"mild hedche 2",0
"dizziness and weakness 37",1
"spo2 low breathing issue 119",2
"severe chest tightness cannot breathe 29",2
"bukhr high fever 81",1
"chest pin brething problem 41",2
"chaati me dard saans nahi aa rahi 108",2
"fever 102 body pain",1
"mild chest pin 70",1
"general weakness",0
"behosh ho gy pulse high",2
"dizziness and weakness 113",1
"mild hedche",0
"no major issue 3",0
"chest pain breathing problem",2
"chest pain breathing problem 58",2
"severe chest tightness cannot breathe 5",2
"general weakness",0
"mild headache",0
"no mjor issue",0
"general weakness 106",0
"mild hedche",0
"chti me drd sns nhi  rhi 73",2
"no major issue 12",0
"norml cold cough 120",0
"chaati me dard saans nahi aa rahi",2
"behosh ho gy pulse high",2
"light brething problem",1
"mild chest pain 142",1
"behosh ho gaya pulse high 134",2
"severe chest tightness cnnot brethe 56",2
"light brething problem",1
"mild chest pain 75",1
"spo2 low breathing issue 110",2
"slight fever stble",0
"spo2 low breathing issue 37",2
"slight fever stable",0
"bukhr high fever 19",1
"mild chest pin 59",1
"severe chest tightness cannot breathe 105",2
"oxygen low ptient unconscious 9",2
"chaati me dard saans nahi aa rahi 133",2
"slight fever stable 138",0
"bukhaar high fever 127",1
"spo2 low brething issue 14",2
"severe chest tightness cannot breathe",2
"generl wekness",0
"oxygen low patient unconscious",2
"fever 102 body pain",1
"mild chest pain",1
"mild headache",0
"fever 102 body pain 82",1
"mild chest pin 5",1
"fever 102 body pin",1
"mild hedche",0
"mild chest pin 53",1
"behosh ho gaya pulse high 54",2
"fever 102 body pin",1
"oxygen low ptient unconscious 30",2
"chest pin brething problem 48",2
"chest pin brething problem",2
"bukhaar high fever 60",1
"mild headache",0
"no major issue",0
"severe chest tightness cnnot brethe",2
"bukhaar high fever 8",1
"general weakness 113",0
"no major issue 115",0
"chaati me dard saans nahi aa rahi",2
"general weakness",0
"bukhaar high fever 57",1
"bukhaar high fever",1
"behosh ho gy pulse high 30",2
"behosh ho gy pulse high",2
"fever 102 body pain 88",1
"slight fever stable",0
"dizziness nd wekness 105",1
"light brething problem 80",1
"chti me drd sns nhi  rhi 107",2
"spo2 low breathing issue",2
"spo2 low brething issue",2
"dizziness nd wekness 54",1
"spo2 low breathing issue 63",2
"no mjor issue 88",0
"severe chest tightness cannot breathe",2
"mild hedche",0
"no major issue",0
"chest pin brething problem",2
"chest pin brething problem",2
"fever 102 body pin",1
"fever 102 body pin",1
"norml cold cough 131",0
"severe chest tightness cannot breathe",2
"mild hedche 8",0
"slight fever stable",0
"generl wekness 5",0
"chest pin brething problem",2
"norml cold cough",0
"oxygen low ptient unconscious",2
"bukhaar high fever 105",1
"light brething problem 102",1
"chti me drd sns nhi  rhi",2
"slight fever stble 20",0
"mild hedche",0
"oxygen low patient unconscious 41",2
"oxygen low patient unconscious 83",2
"mild hedche",0
"slight fever stble 141",0
"normal cold cough",0
"oxygen low patient unconscious 123",2
"dizziness and weakness 131",1
"fever 102 body pain 134",1
"mild headache",0
"mild headache",0
"mild headache",0
"chti me drd sns nhi  rhi 142",2
"light breathing problem 141",1
"dizziness and weakness",1
"no mjor issue 114",0
"chest pain breathing problem 78",2
"mild chest pin",1
